repo,k12_total,k12_pr,k12_class,ratfixed_total,ratfixed_pr,ratfixed_class,da_total,da_pr,da_class
BeehiveInnovations/pal-mcp-server,1,0.0,fail,905,0.9786,pass_strong,905,0.9786,pass_strong
D4Vinci/Scrapling,1,1.0,pass_full,725,1.0,pass_full,140,0.0214,partial
EnableSecurity/wafw00f,3,1.0,pass_full,48,1.0,pass_full,9,0.6667,partial
FoundationAgents/OpenManus,3,1.0,pass_full,25,0.0,fail,0,0.0,not_run
GoogleCloudPlatform/slurm-gcp,2,1.0,pass_full,72,0.4722,partial,0,0.0,not_run
LibreTranslate/LibreTranslate,2,1.0,pass_full,15,1.0,pass_full,15,1.0,pass_full
MemTensor/MemOS,0,0.0,collect_only,621,0.9141,pass_strong,154,0.2662,partial
ModelEngine-Group/nexent,0,0.0,collect_only,0,1.0,no_tests,0,0.0,not_run
NevaMind-AI/memU-server,1,0.0,fail,0,0.0,no_tests,0,0.0,not_run
NewFuture/DDNS,0,0.0,no_tests,877,0.9953,pass_strong,877,0.9953,pass_strong
Nitrokey/pynitrokey,2,1.0,pass_full,190,0.0,fail,1,0.0,fail
Peterande/D-FINE,0,0.0,no_tests,3,1.0,pass_full,1,0.0,fail
PrimeIntellect-ai/verifiers,1,0.0,fail,0,1.0,no_tests,0,0.0,not_run
Tecnativa/docker-socket-proxy,0,0.0,no_tests,5,0.0,fail,0,0.0,no_tests
Yelp/dumb-init,2,1.0,pass_full,182,1.0,pass_full,0,0.0,not_run
aapatre/Automatic-Udemy-Course-Enroller-GET-PAID-UDEMY-COURSES-for-FREE,3,1.0,pass_full,27,1.0,pass_full,27,0.8889,partial
aiidateam/aiida-core,1,1.0,pass_full,0,1.0,no_tests,0,1.0,no_tests
bruin-data/ingestr,0,0.0,not_run,0,0.0,not_run,0,0.0,not_run
conor-is-my-name/n8n-autoscaling,0,0.0,not_run,0,0.0,not_run,0,0.0,not_run
copier-org/copier,5,1.0,pass_full,0,1.0,no_tests,0,0.0,no_tests
dataabc/weibo-crawler,0,0.0,no_tests,0,0.0,no_tests,0,0.0,not_run
django-oauth/django-oauth-toolkit,0,0.0,no_tests,550,1.0,pass_full,0,0.0,no_tests
docling-project/docling,2,1.0,pass_full,242,0.8093,partial,0,0.0,not_run
epam/ai-dial-sdk,0,0.0,collect_only,1479,1.0,pass_full,0,0.0,not_run
feast-dev/feast,0,0.0,not_run,1,0.0,fail,0,0.0,not_run
frappe/press,0,0.0,not_run,0,0.0,not_run,0,0.0,not_run
gip-inclusion/les-emplois,0,0.0,not_run,0,1.0,no_tests,0,0.0,not_run
google/Xee,1,0.0,fail,59,0.4407,partial,0,0.0,no_tests
jasonxtn/Argus,1,1.0,pass_full,0,0.0,no_tests,4,0.0,fail
jhao104/proxy_pool,0,0.0,collect_only,147,1.0,pass_full,147,1.0,pass_full
lyuwenyu/RT-DETR,0,0.0,no_tests,2,0.0,fail,0,0.0,not_run
microsoft/markitdown,5,1.0,pass_full,0,0.0,not_run,0,0.0,not_run
nginx-proxy/nginx-proxy,0,0.0,not_run,4,0.0,fail,0,0.0,not_run
nomadkaraoke/karaoke-gen,1113,0.0,fail,0,1.0,no_tests,0,0.0,not_run
open-webui/mcpo,2,1.0,pass_full,27,1.0,pass_full,27,1.0,pass_full
pre-commit/pre-commit,2,1.0,pass_full,650,0.9954,pass_strong,0,0.0,no_tests
py2many/py2many,0,0.0,no_tests,1603,0.7356,partial,1603,0.813,partial
python-websockets/websockets,0,0.0,no_tests,0,1.0,no_tests,41,0.0,fail
rayai-labs/agentic-ray,0,0.0,not_run,0,0.0,not_run,0,0.0,not_run
resend/resend-python,0,0.0,not_run,429,1.0,pass_full,429,1.0,pass_full
rq/rq,1,1.0,pass_full,573,1.0,pass_full,31,0.0,fail
scylladb/scylla-cluster-tests,0,0.0,no_tests,0,1.0,no_tests,0,0.0,not_run
sirfz/tesserocr,3,1.0,pass_full,0,0.0,no_tests,0,0.0,no_tests
sooperset/mcp-atlassian,1,1.0,pass_full,2739,1.0,pass_full,0,0.0,no_tests
stlehmann/pyads,2,1.0,pass_full,114,1.0,pass_full,0,0.0,not_run
supabase/supabase-py,2,1.0,pass_full,207,0.2754,partial,0,0.0,not_run
swar/nba_api,1,1.0,pass_full,689,0.9955,pass_strong,44,0.0,fail
unit8co/darts,1460,0.1165,partial,0,1.0,no_tests,1,0.0,fail
yihong0618/bilingual_book_maker,5,1.0,pass_full,43,0.9722,pass_strong,16,0.1429,partial
yutto-dev/yutto,5,1.0,pass_full,113,0.9464,pass_strong,17,0.0,fail
