repo,RAT_exec,RAT_pr,DA_exec,DA_pr,R2R_exec,R2R_pr
BeehiveInnovations/pal-mcp-server,1,0.9786,1,0.9786,1,0.9786
D4Vinci/Scrapling,1,0.9324,1,0.9271,1,0.9286
EnableSecurity/wafw00f,1,1.0,1,1.0,1,1.0
FoundationAgents/OpenManus,1,0.0,0,0.0,0,0.0
GoogleCloudPlatform/slurm-gcp,1,0.0,0,0.0,1,0.4722
LibreTranslate/LibreTranslate,1,1.0,1,1.0,1,1.0
MemTensor/MemOS,1,0.9757,0,0.0,0,0.0
ModelEngine-Group/nexent,1,0.0,0,0.0,0,0.0
NevaMind-AI/memU-server,1,0.3924,1,0.0,0,0.0
NewFuture/DDNS,1,1.0,1,0.9953,1,0.9953
Nitrokey/pynitrokey,1,0.0,1,0.0,0,0.0
Peterande/D-FINE,1,1.0,1,0.0,0,0.0
PrimeIntellect-ai/verifiers,1,0.9563,1,0.0,1,0.6669
Tecnativa/docker-socket-proxy,1,0.0,1,0.0,0,0.0
Yelp/dumb-init,1,1.0,1,0.989,1,0.0
aapatre/Automatic-Udemy-Course-Enroller-GET-PAID-UDEMY-COURSES-for-FREE,1,1.0,1,0.0,0,0.0
aiidateam/aiida-core,1,0.7949,0,0.0,0,0.0
bruin-data/ingestr,0,0.0,0,0.0,1,0.0
conor-is-my-name/n8n-autoscaling,0,0.0,0,0.0,0,0.0
copier-org/copier,1,0.9955,1,0.0,1,0.9946
dataabc/weibo-crawler,1,1.0,0,0.0,1,0.0
django-oauth/django-oauth-toolkit,1,1.0,1,0.0,0,0.0
docling-project/docling,1,0.3505,1,0.2093,1,0.0
epam/ai-dial-sdk,1,1.0,1,0.0,0,0.0
feast-dev/feast,1,0.0,0,0.0,1,0.9863
frappe/press,0,0.0,0,0.0,0,0.0
gip-inclusion/les-emplois,1,0.0,0,0.0,1,0.0
google/Xee,1,0.4407,1,0.4407,1,0.4407
jasonxtn/Argus,1,1.0,1,0.0,1,0.0
jhao104/proxy_pool,1,1.0,1,1.0,1,1.0
lyuwenyu/RT-DETR,1,0.0,0,0.0,0,0.0
microsoft/markitdown,1,0.9946,1,0.9852,1,0.9946
nginx-proxy/nginx-proxy,1,0.0,0,0.0,0,0.0
nomadkaraoke/karaoke-gen,1,0.9819,1,0.0,0,0.0
open-webui/mcpo,1,1.0,1,0.0,1,0.963
pre-commit/pre-commit,1,0.9228,0,0.0,1,0.9338
py2many/py2many,1,0.7318,1,0.8384,1,0.9298
python-websockets/websockets,1,0.803,0,0.0,1,0.0
rayai-labs/agentic-ray,0,0.0,1,0.0,1,0.798
resend/resend-python,1,1.0,1,0.5991,1,0.5991
rq/rq,1,1.0,1,0.0029,1,0.0029
scylladb/scylla-cluster-tests,1,0.0,0,0.0,0,0.0
sirfz/tesserocr,1,0.0,1,0.0,1,0.0
sooperset/mcp-atlassian,1,1.0,1,0.0,1,0.9942
stlehmann/pyads,1,1.0,0,0.0,1,1.0
supabase/supabase-py,1,0.0,0,0.0,0,0.0
swar/nba_api,1,0.9955,1,0.9955,0,0.0
unit8co/darts,1,0.9982,1,0.0,1,1.0
yihong0618/bilingual_book_maker,1,0.9722,1,0.9722,1,0.9722
yutto-dev/yutto,1,0.9464,1,0.0,1,0.9464
