full_name,da_exec,da_total,da_passed,da_rate,rat_exec,rat_total,rat_passed,rat_rate
BeehiveInnovations/pal-mcp-server,True,905,870,0.9786,True,905,870,0.9786
D4Vinci/Scrapling,True,727,674,0.9271,True,725,676,0.9324
EnableSecurity/wafw00f,True,48,48,1.0,True,48,48,1.0
FoundationAgents/OpenManus,False,0,0,0.0,True,25,0,0.0
GoogleCloudPlatform/slurm-gcp,False,0,0,0.0,True,0,0,0.0
LibreTranslate/LibreTranslate,True,15,15,1.0,True,15,15,1.0
MemTensor/MemOS,False,0,0,0.0,True,621,602,0.9757
ModelEngine-Group/nexent,False,0,0,0.0,True,1,0,0.0
NevaMind-AI/memU-server,True,8,0,0.0,True,80,31,0.3924
NewFuture/DDNS,True,877,853,0.9953,True,877,852,1.0
Nitrokey/pynitrokey,True,1,0,0.0,True,190,0,0.0
Peterande/D-FINE,True,1,0,0.0,True,2,2,1.0
PrimeIntellect-ai/verifiers,True,0,0,0.0,True,1560,1487,0.9563
Tecnativa/docker-socket-proxy,True,0,0,0.0,True,5,0,0.0
Yelp/dumb-init,True,182,180,0.989,True,182,182,1.0
aapatre/Automatic-Udemy-Course-Enroller-GET-PAID-UDEMY-COURSES-for-FREE,True,0,0,0.0,True,27,27,1.0
aiidateam/aiida-core,False,0,0,0.0,True,3739,2888,0.7949
bruin-data/ingestr,False,0,0,0.0,False,0,0,0.0
conor-is-my-name/n8n-autoscaling,False,0,0,0.0,False,0,0,0.0
copier-org/copier,True,0,0,0.0,True,1113,1098,0.9955
dataabc/weibo-crawler,False,0,0,0.0,True,2,2,1.0
django-oauth/django-oauth-toolkit,True,0,0,0.0,True,550,550,1.0
docling-project/docling,True,86,18,0.2093,True,97,34,0.3505
epam/ai-dial-sdk,True,0,0,0.0,True,1479,1471,1.0
feast-dev/feast,False,0,0,0.0,True,7,0,0.0
frappe/press,False,0,0,0.0,False,0,0,0.0
gip-inclusion/les-emplois,False,0,0,0.0,True,5640,0,0.0
google/Xee,True,59,26,0.4407,True,59,26,0.4407
jasonxtn/Argus,True,1,0,0.0,True,1,1,1.0
jhao104/proxy_pool,True,147,147,1.0,True,147,147,1.0
lyuwenyu/RT-DETR,False,0,0,0.0,True,3,0,0.0
microsoft/markitdown,True,341,333,0.9852,True,373,367,0.9946
nginx-proxy/nginx-proxy,False,0,0,0.0,True,0,0,0.0
nomadkaraoke/karaoke-gen,True,0,0,0.0,True,5103,4824,0.9819
open-webui/mcpo,True,2,0,0.0,True,27,27,1.0
pre-commit/pre-commit,False,0,0,0.0,True,820,753,0.9228
py2many/py2many,True,1603,192,0.8384,True,1603,191,0.7318
python-websockets/websockets,False,0,0,0.0,True,2786,2218,0.803
rayai-labs/agentic-ray,True,17,0,0.0,False,0,0,0.0
resend/resend-python,True,429,257,0.5991,True,429,429,1.0
rq/rq,True,346,1,0.0029,True,573,556,1.0
scylladb/scylla-cluster-tests,False,0,0,0.0,True,44,0,0.0
sirfz/tesserocr,True,0,0,0.0,True,0,0,0.0
sooperset/mcp-atlassian,True,0,0,0.0,True,2739,2578,1.0
stlehmann/pyads,False,0,0,0.0,True,114,114,1.0
supabase/supabase-py,False,0,0,0.0,True,32,0,0.0
swar/nba_api,True,689,669,0.9955,True,689,669,0.9955
unit8co/darts,True,1,0,0.0,True,9707,9627,0.9982
yihong0618/bilingual_book_maker,True,43,35,0.9722,True,43,35,0.9722
yutto-dev/yutto,True,17,0,0.0,True,113,106,0.9464
