full_name,pytest_executed,pytest_total_tests,pytest_passed,pytest_pass_rate,pass_rate_exclude_code_issues,pytest_timeout_unverified,_category
BeehiveInnovations/pal-mcp-server,True,905,870,0.9786,1.0,False,connection_error_stress
D4Vinci/Scrapling,True,725,676,0.9324,1.0,False,connection_error_stress
EnableSecurity/wafw00f,True,48,48,1.0,1.0,False,repo2run_weak_test_deficient
FoundationAgents/OpenManus,True,25,0,0.0,0.0,False,repo2run_weak_test_deficient
GoogleCloudPlatform/slurm-gcp,True,0,0,0.0,0.0,False,native_runtime_stress
LibreTranslate/LibreTranslate,True,15,15,1.0,1.0,False,repo2run_weak_ci_service
MemTensor/MemOS,True,621,602,0.9757,0.9789,False,winnable_large
ModelEngine-Group/nexent,True,1,0,0.0,0.0,False,winnable_large
NevaMind-AI/memU-server,True,80,31,0.3924,0.3924,False,repo2run_weak_ci_service
NewFuture/DDNS,True,877,852,1.0,1.0,False,connection_error_stress
Nitrokey/pynitrokey,True,190,0,0.0,0.0,False,native_runtime_stress
Peterande/D-FINE,True,2,2,1.0,1.0,False,native_runtime_stress
PrimeIntellect-ai/verifiers,True,1560,1487,0.9563,1.0,False,repo2run_weak_test_deficient
Tecnativa/docker-socket-proxy,True,5,0,0.0,0.0,False,connection_error_stress
Yelp/dumb-init,True,182,182,1.0,1.0,False,native_runtime_stress
aapatre/Automatic-Udemy-Course-Enroller-GET-PAID-UDEMY-COURSES-for-FREE,True,27,27,1.0,1.0,False,connection_error_stress
aiidateam/aiida-core,True,3739,2888,0.7949,0.9695,False,winnable_large
bruin-data/ingestr,False,0,0,0.0,0.0,False,repo2run_weak_test_deficient
conor-is-my-name/n8n-autoscaling,False,0,0,0.0,0.0,False,repo2run_weak_ci_service
copier-org/copier,True,1113,1098,0.9955,1.0,False,repo2run_weak_test_deficient
dataabc/weibo-crawler,True,2,2,1.0,1.0,False,connection_error_stress
django-oauth/django-oauth-toolkit,True,550,550,1.0,1.0,False,connection_error_stress
docling-project/docling,True,97,34,0.3505,0.3505,False,hard_general
epam/ai-dial-sdk,True,1479,1471,1.0,1.0,False,easy_control
feast-dev/feast,True,7,0,0.0,0.0,False,winnable_large
frappe/press,False,0,0,0.0,0.0,False,winnable_large
gip-inclusion/les-emplois,True,5640,0,0.0,0.0,False,winnable_large
google/Xee,True,59,26,0.4407,1.0,False,easy_control
jasonxtn/Argus,True,1,1,1.0,1.0,False,connection_error_stress
jhao104/proxy_pool,True,147,147,1.0,1.0,False,documented_rat_failure
lyuwenyu/RT-DETR,True,3,0,0.0,0.0,False,repo2run_weak_test_deficient
microsoft/markitdown,True,373,367,0.9946,0.9973,False,documented_rat_failure
nginx-proxy/nginx-proxy,True,0,0,0.0,0.0,False,documented_rat_failure
nomadkaraoke/karaoke-gen,True,5103,4824,0.9819,1.0,False,winnable_large
open-webui/mcpo,True,27,27,1.0,1.0,False,connection_error_stress
pre-commit/pre-commit,True,820,753,0.9228,1.0,False,repo2run_weak_test_deficient
py2many/py2many,True,1603,191,0.7318,0.9948,False,native_runtime_stress
python-websockets/websockets,True,2786,2218,0.803,1.0,False,repo2run_weak_test_deficient
rayai-labs/agentic-ray,False,0,0,0.0,0.0,False,easy_control
resend/resend-python,True,429,429,1.0,1.0,False,easy_control
rq/rq,True,573,556,1.0,1.0,False,connection_error_stress
scylladb/scylla-cluster-tests,True,44,0,0.0,0.0,False,winnable_large
sirfz/tesserocr,True,0,0,0.0,0.0,False,native_runtime_stress
sooperset/mcp-atlassian,True,2739,2578,1.0,1.0,False,repo2run_weak_test_deficient
stlehmann/pyads,True,114,114,1.0,1.0,False,easy_control
supabase/supabase-py,True,32,0,0.0,0.0,False,connection_error_stress
swar/nba_api,True,689,669,0.9955,1.0,False,connection_error_stress
unit8co/darts,True,9707,9627,0.9982,1.0,False,repo2run_weak_test_deficient
yihong0618/bilingual_book_maker,True,43,35,0.9722,1.0,False,repo2run_weak_test_deficient
yutto-dev/yutto,True,113,106,0.9464,1.0,False,native_runtime_stress
